"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"1","산후조리업","01_01_04_P","3230000","PHMB120133230034042100001","2013-01-28","","02","휴업","02","휴업","","2021-05-21","2021-10-14","","02-420-5560","","138-849","서울특별시 송파구 송파1동 31번지 2호 현대레이크빌 2층","서울특별시 석촌호수로 284 (현대레이크빌 2층)","05623","뉴더퀸산후조리원","2021-05-21 14:53:26","U","2021-05-23 02:40:00","","209389.696217302","445393.711556926","19","19","373.58","40.32","9.46","29.77","6.43","","14.59","8.69","4","10","","2","","","0","2","",
"2","산후조리업","01_01_04_P","4050000","PHMB120134050148042100001","2013-02-14","","02","휴업","02","휴업","","2015-08-24","2016-02-29","","031)889-9591","","446-913","경기도 용인시 기흥구 보정동 1261번지","경기도 용인시 기흥구 죽전로 2 (보정동)","446-858","아이앤젤산후조리원","2015-08-24 14:00:45","I","2018-08-31 23:59:59","","209590.716224934","424244.825220836","16","16","322.59","40.5","14","72","19.5","2.8","2.1","18.5","3","14","","1","1","1","11","9","2",
"3","산후조리업","01_01_04_P","4050000","PHMB120164050148042100001","2016-01-15","","02","휴업","02","휴업","","2023-04-15","2024-04-14","","","","","","경기도 용인시 기흥구 죽전로 2, 현타워 9층 (보정동)","16897","(주)강남퀸즈산후조리원","2023-04-14 15:22:42","U","2023-05-26 08:48:36","","209590.716224934","424244.825220836","19","21","401.18","49.5","16","33","13.8","0","0","0","3","2","0","0","1","0","11","9","2",
"4","산후조리업","01_01_04_P","3520000","PHMB120143520019042100001","2014-12-23","","02","휴업","02","휴업","","2023-07-09","2024-07-09","","","","","","인천광역시 연수구 하모니로 124, 4층 (송도동)","21998","허브산후조리원","2023-08-24 16:09:53","U","2023-08-26 02:40:00","","168498.624341035","431563.608667027","18","20","409.26","34.5","15.96","16.15","9.9","0","0","15.9","3","5","0","0","0","0","4","0","0",
"5","산후조리업","01_01_04_P","4640000","PHMB120144640131042100002","2014-04-14","","02","휴업","02","휴업","","2023-09-28","2023-10-31","","063-236-1052","","","","전라북도 전주시 완산구 홍산로 245, 7~8층 (효자동2가)","54966","세인트포레산후조리원","2023-09-27 09:28:02","U","2023-09-29 02:40:00","","209461.312781735","257275.532934076","24","24","385","65","9.8","33.5","14","0","14","18","3","11","1","3","3","2","8","8","0",
"6","산후조리업","01_01_04_P","3340000","PHMB120073340025042100001","2007-10-25","","02","휴업","02","휴업","","2020-12-08","2020-12-20","","051-910-7180","","","부산광역시 사하구 괴정동 932번지 25호","부산광역시 사하구 낙동대로 234 (괴정동, 조일빌딩)","49340","뉴본산후조리원","2020-12-03 17:25:26","U","2020-12-05 02:40:00","","381506.452021194","179678.554878826","14","9","224.5","19.82","494.67","","","","37.8","12.06","3","10","","","","","8","8","0",
"7","산후조리업","01_01_04_P","3370000","PHMB120213370022042100001","2021-08-23","","02","휴업","02","휴업","","2023-03-01","2023-12-31","","051-717-0312","","","부산광역시 연제구 연산동 603-48","부산광역시 연제구 반송로 28-1, 태영관광호텔 6-9층 (연산동)","47549","마미사랑산후조리원","2023-02-27 17:31:24","U","2023-03-01 02:40:00","","389757.302750547","189582.877763615","25","25","613.36","42.8","37.7","0","8.4","8.84","164.64","27.67","3","5","0","1","0","1","12","10","2",
"8","산후조리업","01_01_04_P","3240000","PHMB120073240033042100002","2007-08-30","","02","휴업","02","휴업","","2015-02-17","2015-11-05","","02) 477-7707","","134-846","서울특별시 강동구 성내3동 440번지 4호 만선재빌딩 3,4층","서울특별시 강동구 양재대로85길 17 (성내동)","134-846","사랑의소리산후조리원","2015-06-03 16:29:22","I","2018-08-31 23:59:59","","211740.679000368","446914.416126274","15","15","138.6","26","7.1","32","4","","31.66","16.5","3","6","","2","2","","9","7","2",
"9","산후조리업","01_01_04_P","4390000","PHMB120094390029042100001","2009-04-17","","02","휴업","02","휴업","","2017-11-20","2018-11-20","","043-854-9401","","380-100","충청북도 충주시 연수동 1515번지 유성빌딩 5층","","","세란산후조리원","2017-11-21 09:40:12","I","2018-08-31 23:59:59","","","","9","9","9.2","22.2","3.3","","","","","","2","2","","1","","","0","","",
"10","산후조리업","01_01_04_P","3780000","PHMB120153780064042100002","2015-03-19","","02","휴업","02","휴업","","2023-08-17","2024-02-16","","031-703-2015","","","","경기도 성남시 분당구 서현로180번길 26, 3층 (서현동)","13590","주)세인트 포시즌 산후조리원","2023-08-17 09:55:21","U","2023-08-19 02:40:00","","210669.14692335","431695.786167265","21","21","396.86","54.06","23.1","18.5","4.86","0","75.6","20.4","5","10","1","1","1","0","3","3","0",
"11","산후조리업","01_01_04_P","3220000","PHMB120073220033042100004","2007-03-06","","02","휴업","02","휴업","","2023-05-31","2023-12-31","","","","","서울특별시 강남구 역삼동 650번지 9호 강남차병원 3층","서울특별시 강남구 논현로 566, 강남차병원 3층 (역삼동)","06135","차병원 산후조리원","2023-05-19 14:57:18","U","2023-05-21 02:40:00","","202979.308817323","444965.788565979","19","20","275.5","160.5","0","0","0","0","0","0","9","4","2","1","0","0","6","4","2",
"12","산후조리업","01_01_04_P","3140000","PHMB120083140033042100001","2014-05-22","","02","휴업","02","휴업","","2021-05-03","2022-01-04","","","","","서울특별시 양천구 신월동 54번지 7호","서울특별시 양천구 화곡로 64, 동화빌딩 2층 (신월동)","07904","동그라미산후조리원(강서점)","2022-11-25 17:03:42","U","2022-11-27 02:40:00","","184806.911534822","448551.489178583","18","18","0","0","0","0","0","0","0","0","4","10","0","0","0","4","0","0","0",
"13","산후조리업","01_01_04_P","3620000","PHMB120063620020042100002","2006-09-08","","03","폐업","03","폐업","2013-05-31","","","","062-575-0839","","500-895","광주광역시 북구 양산동 784번지 동광빌딩 3층","광주광역시 북구 양산로 2 (양산동)","500-895","(주)보람산후조리원","2013-05-31 11:26:35","I","2018-08-31 23:59:59","","188529.440735136","190197.325905454","22","22","386.81","41.3","11.24","49.92","11.36","6.39","18","8","3","6","","2","2","","5","3","",
"14","산후조리업","01_01_04_P","3620000","PHMB120163620020042100001","2016-11-22","","03","폐업","03","폐업","2021-03-31","","","","062-602-9400","","","","광주광역시 북구 하서로 395 (양산동, 빛고을 여성병원)","61074","(주)신빛고을산후조리원","2021-10-13 10:15:02","U","2021-10-15 02:40:00","","188418.689799441","190137.452144316","28","30","849.8","102.55","49.95","0","0","0","0","0","6","14","0","0","0","1","0","8","0",
"15","산후조리업","01_01_04_P","3450000","PHMB120063450022042100002","2006-12-04","","03","폐업","03","폐업","2016-11-24","","","","325-2900","","702-250","대구광역시 북구 동천동 951번지 2호","대구광역시 북구 팔거천동로 223 (동천동)","41422","류정선산후조리원","2016-12-06 09:06:03","I","2018-08-31 23:59:59","","340500.691418094","272641.867971473","20","20","266.54","25.52","9.61","31.58","6.48","","9.24","","2","7","","","","2","1","1","",
"16","산후조리업","01_01_04_P","5370000","PHMB120075370025042100001","2007-01-02","","03","폐업","03","폐업","2011-05-30","","","","","","656-934","경상남도 거제시 고현동 731번지","","","큐티산후조리원","2011-05-30 11:43:03","I","2018-08-31 23:59:59","","348263.465446056","154785.428179504","7","7","","","","","","","","","","","","","","","","","",
"17","산후조리업","01_01_04_P","5370000","PHMB120075370025042100002","2007-04-12","","03","폐업","03","폐업","2021-06-01","","","","055-688-9125","","656-300","경상남도 거제시 상동동 519번지 12호","경상남도 거제시 거제중앙로 1729, 4층 (상동동)","53290","미즈맘산후조리원","2021-06-01 09:23:49","U","2021-06-03 02:40:00","","349114.033716584","154027.254302498","15","15","273.56","39.6","14.5","32","","","12.7","7.5","3","6","","","1","7","0","","",
"18","산후조리업","01_01_04_P","5370000","PHMB120135370025042100001","2013-10-15","","03","폐업","03","폐업","2018-06-30","2015-03-02","2015-09-02","","055-632-8282","","656-935","경상남도 거제시 고현동 976번지 4호","경상남도 거제시 거제중앙로 1938-3, 2,3층 (고현동)","53251","해피맘산후조리원","2018-06-25 16:22:43","I","2018-08-31 23:59:59","","348252.790966845","155912.859812599","19","19","436.6","42.3","14.2","0","9.6","6.78","28.8","15.8","3","3","","2","2","3","2","2","",
"19","산후조리업","01_01_04_P","4490000","PHMB120064490042042100001","2006-12-08","","03","폐업","03","폐업","2009-01-18","","","","","","330-110","충청남도 천안시동남구 다가동 397번지","","","아랫목산후조리원","2008-12-18 16:21:43","I","2018-08-31 23:59:59","","","","10","10","6.57","21.73","7.51","22.74","8.22","4.8","7.13","6.9","2","6","0","1","1","0","0","0","0",
"20","산후조리업","01_01_04_P","4490000","PHMB120064490042042100002","2006-12-08","","03","폐업","03","폐업","2010-11-20","","","","552-8864","","330-072","충청남도 천안시동남구 원성동 508번지 1호","충청남도 천안시 동남구 버들로 118 (원성동)","","나이팅게일산후조리원","2010-10-21 18:09:26","I","2018-08-31 23:59:59","","214169.84573392","367202.043628444","14","14","126","43","8","16","4","3","19","8","4","3","0","1","1","0","0","0","0",
